Predicted,Actual
Good,Normal
Good,Normal
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Normal
Normal,Normal
Good,Good
Good,Good
Good,Good
Good,Normal
Good,Bad
Bad,Bad
Good,Normal
Good,Good
Good,Good
Good,Normal
Bad,Normal
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Normal
Normal,Normal
Good,Normal
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Good
Good,Good
Good,Good
Good,Good
Bad,Bad
Bad,Normal
Good,Normal
Bad,Bad
Bad,Good
Bad,Normal
Normal,Good
Normal,Bad
Meltdown,Bad
Normal,Normal
Bad,Normal
Normal,Bad
Normal,Normal
Good,Bad
Normal,Normal
Normal,Bad
Normal,Normal
Bad,Normal
Normal,Bad
Good,Normal
Bad,Good
Good,Good
Good,Bad
Good,Bad
Bad,Bad
Bad,Bad
Bad,Normal
Bad,Good
Good,Normal
Normal,Bad
Normal,Normal
Normal,Normal
Bad,Bad
Meltdown,Meltdown
Bad,Bad
Normal,Good
Bad,Normal
Normal,Normal
Bad,Bad
Normal,Normal
Bad,Normal
Normal,Good
Good,Good
Good,Good
Good,Normal
Normal,Good
Good,Good
Good,Good
Normal,Good
Good,Good
Good,Good
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Normal
Meltdown,Bad
Bad,Normal
Good,Normal
Normal,Normal
Good,Good
Good,Good
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Normal
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Meltdown,Normal
Meltdown,Meltdown
Normal,Good
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Good
Normal,Good
Good,Normal
Good,Normal
Normal,Normal
Bad,Normal
Normal,Good
Normal,Good
Bad,Bad
Good,Normal
Normal,Good
Normal,Normal
Good,Normal
Good,Good
Bad,Good
Normal,Good
Good,Normal
Good,Good
Good,Good
Bad,Normal
Normal,Good
Good,Good
Good,Good
Normal,Normal
Meltdown,Meltdown
Bad,Normal
Normal,Normal
Bad,Bad
Bad,Bad
Normal,Normal
Normal,Normal
Bad,Bad
Normal,Good
Good,Good
Bad,Normal
Normal,Normal
Normal,Good
Normal,Bad
Bad,Normal
Good,Normal
Bad,Meltdown
Bad,Bad
Bad,Bad
Bad,Good
Good,Bad
Bad,Bad
Bad,Normal
Normal,Normal
Bad,Normal
Normal,Bad
Meltdown,Bad
Good,Bad
Bad,Bad
Normal,Normal
Normal,Normal
Bad,Normal
Normal,Normal
Normal,Bad
Bad,Bad
Bad,Normal
Meltdown,Meltdown
Meltdown,Meltdown
Meltdown,Meltdown
Meltdown,Bad
Bad,Normal
Good,Good
Bad,Meltdown
Bad,Normal
Good,Bad
Bad,Bad
Good,Good
Good,Good
Good,Good
Normal,Normal
Good,Normal
Good,Good
Good,Normal
Good,Good
Good,Good
Normal,Normal
Normal,Good
Normal,Good
Good,Good
Normal,Normal
Bad,Normal
Normal,Good
Good,Good
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Normal
Good,Good
Good,Good
Normal,Normal
Good,Normal
Normal,Good
Bad,Normal
Meltdown,Normal
Normal,Normal
Meltdown,Meltdown
Bad,Normal
Bad,Normal
Good,Normal
Bad,Normal
Good,Good
Normal,Good
Good,Normal
Normal,Normal
Normal,Normal
Good,Good
Good,Good
Good,Good
Good,Good
Good,Normal
Normal,Normal
Good,Good
Good,Good
Bad,Normal
Good,Good
Good,Good
Bad,Bad
